prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
31991222,C130501,稻属杂种不育基因的克隆与分子遗传机理解析,刘耀光,华南农业大学,598,2020-01至2024-12
31991220,C130501,稻属杂种不育与生殖隔离的分子遗传基础,刘耀光,华南农业大学,1994,2020-01至2024-12
41991254,D0209,人类世人类活动的影响与适应,刘晓东,中国科学院地球环境研究所,296.4,2020-01至2024-12
11991062,A040205,微纳结构非平衡载流子检测及动力学性质研究,刘韡韬,复旦大学,658,2020-01至2024-12
41991333,D0701,土壤复合污染物的微生物转化及核心功能菌群构建,刘双江,中国科学院微生物研究所,376,2020-01至2024-12
21991081,B0403,细胞中功能大分子三维结构的高效测定方法,刘买利,中国科学院精密测量科学与技术创新研究院,518,2020-01至2024-12
21991080,B04,细胞中生物大分子结构与相互作用的谱学测量,刘买利,中国科学院精密测量科学与技术创新研究院,1998,2020-01至2024-12
51991343,E0207,亚十纳米二维材料及其异质结构的可控制备,刘碧录,清华大学,420,2020-01至2024-12
31991211,C020303,多倍体小麦亚基因组的起源与进化,刘宝,东北师范大学,450,2020-01至2024-12
81991525,H3005,海洋药源分子的定向发掘与异源高效表达,林文翰,北京大学,350,2020-01至2024-12
21991132,B030405,催组装新体系的构建：基元、催组剂和组装机理,梁好均,中国科学技术大学,550,2020-01至2024-12
71991474,G0303,微观大数据计量建模研究,李仲飞,中山大学,258,2020-01至2024-12
31991184,C150201,环境影响番茄品质性状的机制和调控,李天来,沈阳农业大学,396,2020-01至2024-12
51991391,E0905,施工期超长跨海隧道不良地质体的精细超前探测与防灾技术,李术才,山东大学,430,2020-01至2024-12
31991185,C1502,优质多抗番茄品种的分子设计,李君明,中国农业科学院蔬菜花卉研究所,397,2020-01至2024-12
51991362,E0402,天然气水合物储层力学特征及多场耦合工程响应机制,金衍,中国石油大学（北京）,370,2020-01至2024-12
81991514,H06,骨源性因子对稳态失衡相关疾病的干预策略,蒋青,南京大学,400,2020-01至2024-12
21991082,B04,细胞中原子分辨的功能分子构象变化、相互作用和微环境效应的测定方法,姜凌,中国科学院精密测量科学与技术创新研究院,460,2020-01至2024-12
